row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,sign_grid,sign_local,in_original_bracket,in_hot_window,dimension_jump_flag
1281,0.26930675533776688,5,4.1049987879866601e-21,-0,3.8520242222524293e-21,-0,1,1,false,true,false
1282,0.26931160058002901,5,2.8580927389179673e-21,-0,2.6141762514703879e-21,-0,1,1,false,true,false
1283,0.26931644582229114,5,1.6107187350412745e-21,-0,1.3758651458271384e-21,-0,1,1,false,true,false
1284,0.26932129106455321,5,3.6287799278833387e-22,-0,1.3709210697069016e-22,-0,1,1,true,true,false
1285,0.26932613630681534,5,-8.8542827696834755e-22,0,-1.1021416689752586e-21,0,-1,-1,true,true,false
1286,0.26933098154907748,5,-2.1341988687950737e-21,0,-2.3418349912926477e-21,0,-1,-1,false,true,false
1287,0.26933582679133955,5,-3.3834325827270634e-21,0,-3.5819866746996017e-21,0,-1,-1,false,true,false
1288,0.26934067203360168,5,-4.6331282243002083e-21,0,-4.8225955393799814e-21,0,-1,-1,false,true,false
1289,0.26934551727586381,5,-5.8832846044467033e-21,0,-6.0636604108817244e-21,0,-1,-1,false,true,false
1290,0.26935036251812589,5,-7.1339005395275219e-21,0,-7.3051801201481527e-21,0,-1,-1,false,true,false
1291,0.26935520776038802,5,-8.3849748513556157e-21,0,-8.5471535035409298e-21,0,-1,-1,false,true,false
1292,0.26936005300265015,5,-9.63650636711879e-21,0,-9.7895794027636739e-21,0,-1,-1,false,true,false
1293,0.26936489824491222,5,-1.0888493919360137e-20,0,-1.1032456664841974e-20,0,-1,-1,false,true,false
1294,0.26936974348717435,5,-1.2140936346068562e-20,0,-1.2275784142214354e-20,0,-1,-1,false,true,false
1295,0.26937458872943648,5,-1.3393832490510807e-20,0,-1.3519560692564461e-20,0,-1,-1,false,true,false
1296,0.26937943397169861,5,-1.4647181201336659e-20,0,-1.4763785178925446e-20,0,-1,-1,false,true,false
1297,0.26938427921396069,5,-1.590098133251285e-20,0,-1.6008456469615424e-20,0,-1,-1,false,true,false
1298,0.26938912445622282,5,-1.7155231743341898e-20,0,-1.7253573438254761e-20,0,-1,-1,false,true,false
1299,0.26939396969848495,5,-1.8409931298388961e-20,0,-1.8499134963694116e-20,0,-1,-1,false,true,false
1300,0.26939881494074702,5,-1.9665078867520051e-20,0,-1.974513993005248e-20,0,-1,-1,false,true,false
1301,0.26940366018300915,5,-2.0920673325905977e-20,0,-2.0991587226720853e-20,0,-1,-1,false,true,false
1302,0.26940850542527128,5,-2.2176713553916443e-20,0,-2.2238475748256623e-20,0,-1,-1,false,true,false
1303,0.26941335066753336,5,-2.3433198437227325e-20,0,-2.3485804394491279e-20,0,-1,-1,false,true,false
1304,0.26941819590979549,5,-2.4690126866699782e-20,0,-2.4733572070409106e-20,0,-1,-1,false,true,false
1305,0.26942304115205762,5,-2.5947497738432258e-20,0,-2.5981777686198695e-20,0,-1,-1,false,true,false
1306,0.26942788639431969,5,-2.7205309953695888e-20,0,-2.7230420157190369e-20,0,-1,-1,false,true,false
1307,0.26943273163658182,5,-2.8463562419012334e-20,0,-2.8479498403931516e-20,0,-1,-1,false,true,false
1308,0.26943757687884395,5,-2.9722254046033295e-20,0,-2.9729011352068271e-20,0,-1,-1,false,true,false
